,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
47,0.1,0.5009161829948425,0.5444191098213196,0.8298611044883728,0.6574965715408325,0.7509999871253967,extreme,en-de,test,107,supervised,train_multilingual_auth_demetr_data_single
48,0.5,0.4647482633590698,0.70243901014328,0.5,0.5841785073280334,0.7950000166893005,default,en-de,test,2710,supervised,train_multilingual_auth_demetr_data_single
49,0.5,0.4647482633590698,0.70243901014328,0.5,0.5841785073280334,0.7950000166893005,best,en-de,test,2710,supervised,train_multilingual_auth_demetr_data_single
50,0.1,0.49307140707969666,0.5232067704200745,0.8611111044883728,0.6509186625480652,0.734000027179718,extreme,en-de,test,2710,supervised,train_multilingual_auth_demetr_data_single
51,0.5,0.4618740379810333,0.6818181872367859,0.5208333134651184,0.5905511975288391,0.7919999957084656,default,en-de,test,928,supervised,train_multilingual_auth_demetr_data_single
52,0.5,0.4618740379810333,0.6818181872367859,0.5208333134651184,0.5905511975288391,0.7919999957084656,best,en-de,test,928,supervised,train_multilingual_auth_demetr_data_single
53,0.1,0.46378958225250244,0.49221789836883545,0.8784722089767456,0.6309226751327515,0.7039999961853027,extreme,en-de,test,928,supervised,train_multilingual_auth_demetr_data_single
54,0.5,0.45047882199287415,0.6824644804000854,0.5,0.5771543383598328,0.7889999747276306,default,en-de,test,89,supervised,train_multilingual_auth_demetr_data_single
55,0.21,0.5162807703018188,0.6529209613800049,0.6597222089767456,0.6563040018081665,0.8009999990463257,best,en-de,test,89,supervised,train_multilingual_auth_demetr_data_single
56,0.1,0.4916970133781433,0.5914285778999329,0.71875,0.6489028334617615,0.7760000228881836,extreme,en-de,test,89,supervised,train_multilingual_auth_demetr_data_single
57,0.5,0.4728780686855316,0.7230769395828247,0.4895833432674408,0.5838509202003479,0.7990000247955322,default,en-de,test,42,supervised,train_multilingual_auth_demetr_data_single
58,0.18,0.5068863034248352,0.5994318127632141,0.7326388955116272,0.659375011920929,0.7820000052452087,best,en-de,test,42,supervised,train_multilingual_auth_demetr_data_single
59,0.1,0.49366259574890137,0.5396825671195984,0.8263888955116272,0.6529492735862732,0.746999979019165,extreme,en-de,test,42,supervised,train_multilingual_auth_demetr_data_single
60,0.5,0.3067295551300049,0.41333332657814026,0.3229166567325592,0.3625730872154236,0.890999972820282,default,en-ja,dev,107,supervised,train_multilingual_auth_demetr_data_single
61,0.2,0.31394752860069275,0.3689320385456085,0.3958333432674408,0.3819095492362976,0.8769999742507935,best,en-ja,dev,107,supervised,train_multilingual_auth_demetr_data_single
62,0.1,0.27777764201164246,0.3076923191547394,0.4166666567325592,0.3539822995662689,0.8539999723434448,extreme,en-ja,dev,107,supervised,train_multilingual_auth_demetr_data_single
63,0.5,0.32627126574516296,0.4197530746459961,0.3541666567325592,0.38418078422546387,0.890999972820282,default,en-ja,dev,928,supervised,train_multilingual_auth_demetr_data_single
64,0.51,0.3324328064918518,0.4303797483444214,0.3541666567325592,0.38857144117355347,0.8930000066757202,best,en-ja,dev,928,supervised,train_multilingual_auth_demetr_data_single
65,0.1,0.2559284567832947,0.26875001192092896,0.4479166567325592,0.3359375,0.8299999833106995,extreme,en-ja,dev,928,supervised,train_multilingual_auth_demetr_data_single
66,0.5,0.30891475081443787,0.39080458879470825,0.3541666567325592,0.3715847134590149,0.8849999904632568,default,en-ja,dev,89,supervised,train_multilingual_auth_demetr_data_single
67,0.4,0.32558271288871765,0.3660714328289032,0.4270833432674408,0.39423078298568726,0.8740000128746033,best,en-ja,dev,89,supervised,train_multilingual_auth_demetr_data_single
68,0.1,0.25812822580337524,0.22264151275157928,0.6145833134651184,0.32686981558799744,0.7570000290870667,extreme,en-ja,dev,89,supervised,train_multilingual_auth_demetr_data_single
69,0.5,0.3359130620956421,0.41860464215278625,0.375,0.3956044018268585,0.8899999856948853,default,en-ja,dev,42,supervised,train_multilingual_auth_demetr_data_single
70,0.5,0.3359130620956421,0.41860464215278625,0.375,0.3956044018268585,0.8899999856948853,best,en-ja,dev,42,supervised,train_multilingual_auth_demetr_data_single
71,0.1,0.26490703225135803,0.24423962831497192,0.5520833134651184,0.3386581540107727,0.7929999828338623,extreme,en-ja,dev,42,supervised,train_multilingual_auth_demetr_data_single
72,0.5,0.33880215883255005,0.44155845046043396,0.3541666567325592,0.39306357502937317,0.8949999809265137,default,en-ja,dev,2710,supervised,train_multilingual_auth_demetr_data_single
73,0.53,0.34539294242858887,0.4533333480358124,0.3541666567325592,0.3976608216762543,0.8970000147819519,best,en-ja,dev,2710,supervised,train_multilingual_auth_demetr_data_single
